[16:54:53] PUMP    ezo_i2c loaded -- using real EZO-PMP hardware
[16:54:53] SENSOR  ezo_i2c loaded -- using real EZO-pH hardware
[16:54:53] CTRL    reader thread started
 * Serving Flask app "app" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://0.0.0.0:8080/ (Press CTRL+C to quit)
127.0.0.1 - - [19/May/2026 16:57:04] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:04] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:06] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:06] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:08] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:08] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:10] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:10] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:12] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:12] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:14] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:14] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:16] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:16] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:18] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:19] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:20] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:21] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:22] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:23] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:24] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:25] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:26] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:27] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:28] "GET /api/status HTTP/1.1" 200 -
10.0.0.99 - - [19/May/2026 16:57:29] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [19/May/2026 16:57:30] "GET /api/status HTTP/1.1" 200 -
